code;product_name;alcohol_100g;brands;main_category;categories;address;manufacturing_places;image_front_url
3324020000756;Trois Monts Bio;6.5;3 Monts;Ale;Bière Blonde;121 Route de la Chapelle, 59114 Saint-Sylvestre-Cappel, France;France;https://static.openfoodfacts.org/images/products/332/402/000/0756/front_fr.11.400.jpg
3324020003757;3 Monts Bière De Flandre;8.5;3 Monts;Lager;Bière Blonde;122 Route de la Chapelle, 59114 Saint-Sylvestre-Cappel, France;France;https://static.openfoodfacts.org/images/products/332/402/000/3757/front_fr.5.400.jpg
3261570003137;Blanche - Abbaye De Vauclair;4.5;Abbaye de Vauclair;Wheat Beer;Bière Blanche;Arques, Pas-de-Calais, France;France;https://static.openfoodfacts.org/images/products/326/157/000/3137/front_fr.11.400.jpg
20368708;Rubis;5;Abbaye de Vauclair;Ale;Bière Aromatisée;Arques, Pas-de-Calais, France;France;https://static.openfoodfacts.org/images/products/20368708/front_fr.6.400.jpg
20289539;Triple;8.5;Abbaye de Vauclair;Bière de Garde;Bière Blonde;Arques, Pas-de-Calais, France;France;https://static.openfoodfacts.org/images/products/20289539/front_fr.5.400.jpg
2000000134765;La Trappe Tripel;8;Abbaye Notre-Dame;Abbaye;Bière Blonde;Rochefort, Wallonie Belgium;France;https://static.openfoodfacts.org/images/products/200/000/013/4765/front_fr.6.400.jpg
5412858000104;Trappistes Rochefort 6;7.5;Abbaye Notre-Dame;Abbaye;Bière Brune;Rochefort, Wallonie Belgium;Belgique;
5016878010435;Adnams Ghost Ship 500Ml;4.5;Adnams;Pale Ale;Bière Blonde;Southwold, Suffolk, England;Belgique;https://static.openfoodfacts.org/images/products/501/687/801/0435/front_en.4.400.jpg
5016878010817;Adnams Southwold Dry Hopped Lager;4.2;Adnams;Lager;Bière Blonde;Southwold, Suffolk, England;Angleterre;https://static.openfoodfacts.org/images/products/501/687/801/0817/front_en.3.400.jpg
5016878000160;Broadside;6.3;Adnams;Pale Ale;Bière Ambrée;Southwold, Suffolk, England;Angleterre;https://static.openfoodfacts.org/images/products/501/687/800/0160/front_fr.8.400.jpg
3119780259878;Cuvée Carmin;5.2;Affligem;Abbaye;Bière Aromatisée;Affligem, Belgium;Belgique;https://static.openfoodfacts.org/images/products/311/978/025/9878/front_fr.22.400.jpg
3119780256914;Cuvée Florem;6.7;Affligem;Abbaye;Bière Aromatisée;Affligem, Belgium;Belgique;
5411098731335;Fleur De Houblon;6.8;Affligem;Abbaye;Bière Blonde;Affligem, Belgium;Belgique;https://static.openfoodfacts.org/images/products/541/109/873/1335/front_fr.13.400.jpg
5411098110000;Affligem Blonde;6.7;Affligem;Lager;Bière Blonde;Affligem, Belgium;Belgique;https://static.openfoodfacts.org/images/products/541/109/811/0000/front_fr.5.400.jpg
3760058331019;Akerbeltz Ambrée;5.5;Akerbeltz;Lager;Bière Ambrée;Ascain, Nouvelle-Aquitaine France;France;https://static.openfoodfacts.org/images/products/376/005/833/1019/front_en.3.400.jpg
3760058333013;Akerbeltz Blonde;4.5;Akerbeltz;Lager;Bière Blonde;Ascain, Nouvelle-Aquitaine France;France;https://static.openfoodfacts.org/images/products/376/005/833/3013/front_fr.10.400.jpg
3760265800087;Alaryk Double;7;Alaryk;IPA;Bière Blonde;Béziers, Occitanie France;France;https://static.openfoodfacts.org/images/products/376/026/580/0087/front_fr.6.400.jpg
3760265800056;Alaryk Ambrée;5.5;Alaryk;Ale;Bière Ambrée;Béziers, Occitanie France;France;https://static.openfoodfacts.org/images/products/376/026/580/0056/front_fr.6.400.jpg
3760265800032;Alaryk Blanche;4.5;Alaryk;Wheat Beer;Bière Blanche;Béziers, Occitanie France;France;https://static.openfoodfacts.org/images/products/376/026/580/0032/front_fr.7.400.jpg
3760265800001;Alaryk Blonde;5;Alaryk;Ale;Bière Blonde;Béziers, Occitanie France;France;https://static.openfoodfacts.org/images/products/376/026/580/0001/front_fr.16.400.jpg
3760265800100;Alaryk Brune;8;Alaryk;Stout;Bière Rousse;Béziers, Occitanie France;France;https://static.openfoodfacts.org/images/products/376/026/580/0100/front_fr.6.400.jpg
8413681000344;Alhambra Beer Premium Lager;5.4;Grupo Cervezas Alhambra;Lager;Bière Blonde;Granada, Andalucía Spain;Espagne;https://static.openfoodfacts.org/images/products/841/368/100/0344/front_es.12.400.jpg
8413681301236;Alhambra Especial;5.4;Grupo Cervezas Alhambra;Lager;Bière Blonde;Granada, Andalucía Spain;Espagne;
8413681306903;Alhambra Especial Radler;2.5;Grupo Cervezas Alhambra;Lager;Bière Aromatisée;Granada, Andalucía Spain;Espagne;https://static.openfoodfacts.org/images/products/841/368/130/6903/front_es.3.400.jpg
8413681306934;Alhambra Radler;5.5;Grupo Cervezas Alhambra;Lager;Bière Aromatisée;Granada, Andalucía Spain;Espagne;https://static.openfoodfacts.org/images/products/841/368/130/6934/front_es.3.400.jpg
8413681241112;Alhambra Tradicional;4.6;Grupo Cervezas Alhambra;Lager;Bière Ambrée;Granada, Andalucía Spain;Espagne;https://static.openfoodfacts.org/images/products/841/368/124/1112/front_es.4.400.jpg
4103210274639;Allgäuer Brauhaus Büble Bier Edel Weizen;5.3;Allgäuer Brauhaus;Lager;Bière Blanche;Kempten (Allgäu), Bayern Germany;Allemagne;https://static.openfoodfacts.org/images/products/410/321/027/4639/front_de.8.400.jpg
4103210001297;Büble Bier;5.5;Allgäuer Brauhaus;Lager;Bière Blonde;Kempten (Allgäu), Bayern Germany;Allemagne;https://static.openfoodfacts.org/images/products/410/321/000/1297/front_de.4.400.jpg
5391528370061;Kentucky Ipa;6.5;Lexington Brewing & Distilling Co.;IPA;Bière Blonde;Lexington, KY United States;Irlande;
5391528370009;Kentucky Ale;5;Lexington Brewing & Distilling Co.;Ale;Bière Blonde;Lexington, KY United States;Irlande;https://static.openfoodfacts.org/images/products/539/152/837/0009/front_en.9.400.jpg
5391528370122;Kentucky Bourbon Barrel Stout;7.2;Lexington Brewing & Distilling Co.;Stout;Bière Aromatisée;Lexington, KY United States;Irlande;https://static.openfoodfacts.org/images/products/539/152/837/0122/front_fr.6.400.jpg
40477237;Alpirsbacher Klosterbräu Starkbier;5.4;Alpirsbacher;Pils;Bière Blonde;Alpirsbach, Baden-Württemberg Germany;Allemagne;https://static.openfoodfacts.org/images/products/40477237/front_de.5.400.jpg
40477114;Alpirsbacher Special Klosterbrau;5.4;Alpirsbacher;Abbaye;Bière Blonde;Alpirsbach, Baden-Württemberg Germany;Allemagne;https://static.openfoodfacts.org/images/products/40477114/front_fr.4.400.jpg
40477756;Kloster Helles;5.1;Alpirsbacher;Lager;Bière Blonde;Alpirsbach, Baden-Württemberg Germany;Allemagne;https://static.openfoodfacts.org/images/products/40477756/front_en.3.400.jpg
8034013025028;Midòna;6.5;Amarcord;Ale;Bière Blonde;Rimini, RN Italy;Italie;https://static.openfoodfacts.org/images/products/803/401/302/5028/front_fr.5.400.jpg
8034013025035;Volpina;6.5;Amarcord;Ale;Bière Rousse;Rimini, RN Italy;Italie;https://static.openfoodfacts.org/images/products/803/401/302/5035/front_fr.5.400.jpg
8410700001573;Ambar Especial;4.8;La Zaragozana;Ale;Bière Blonde;Zaragoza, Spain;Espagne;https://static.openfoodfacts.org/images/products/841/070/000/1573/front_fr.4.400.jpg
8410700002242;Ambar Export Tres Maltas;7;La Zaragozana;Lager;Bière Ambrée;Zaragoza, Spain;Espagne;https://static.openfoodfacts.org/images/products/841/070/000/2242/front_es.3.400.jpg
8410700004703;Ambar Ipa;5.2;La Zaragozana;IPA;Bière Blonde;Zaragoza, Spain;Espagne;https://static.openfoodfacts.org/images/products/841/070/000/4703/front_es.3.400.jpg
8410700003829;Ambar Radler;2.5;La Zaragozana;Lager;Bière Aromatisée;Zaragoza, Spain;Espagne;https://static.openfoodfacts.org/images/products/841/070/000/3829/front_es.3.400.jpg
8410569005651;Amstel Aguila Beer;5;Amstel;Lager;Bière Blonde;Zoeterwoude, Zuid-Holland Netherlands;Pays-Bas;https://static.openfoodfacts.org/images/products/841/056/900/5651/front_es.6.400.jpg
